Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[disease staging]	Sample Characteristic Ontology Term[disease staging]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Analysed
ppb.iBAQ.ME180C13_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME180C13		ME180C13		Yes
ppb.iBAQ.ME180C13_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME180C13		ME180C13		Yes
ppb.iBAQ.ME180_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	Yes
ppb.iBAQ.ME180_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	Yes
ppb.iBAQ.ME180_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000172	not available		ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	ME-180	http://www.ebi.ac.uk/efo/EFO_0006646	Yes
ppb.iBAQ.OVCA433_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	Yes
ppb.iBAQ.OVCA433_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	Yes
ppb.iBAQ.OVCA433_3_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	not available		OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	Yes
ppb.iBAQ.OVCAR.3_1_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	Yes
ppb.iBAQ.OVCAR.3_2_Coscia	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	adult	http://www.ebi.ac.uk/efo/EFO_0001272	female	http://purl.obolibrary.org/obo/PATO_0000383	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	not available		OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	OVCAR3	http://www.ebi.ac.uk/efo/EFO_0003061	Yes
